"","Ambient T Last (C)","Channel 1 Last (C)","Channel 2 Last (C)","Channel 3 Last (C)","Channel 4 Last (C)"
"00:00:00","24.4162","18.6842","21.7940","18.5871","21.7665"
"00:00:01","24.4162","18.6842","21.7940","18.5815","21.7684"
"00:00:02","24.4163","18.6806","21.7941","18.5779","21.7685"
"00:00:03","24.4163","18.6843","21.7941","18.5816","21.7740"
"00:00:04","24.4164","18.6882","21.7998","18.5818","21.7705"
"00:00:05","24.4164","18.6826","21.7906","18.5762","21.7668"
"00:00:06","24.4165","18.6790","21.7999","18.5781","21.7650"
"00:00:07","24.4165","18.6845","21.8017","18.5744","21.7761"
"00:00:08","24.4167","18.6847","21.7982","18.5801","21.7689"
"00:00:09","24.4166","18.6772","21.7926","18.5819","21.7706"
"00:00:10","24.4167","18.6828","21.8000","18.5783","21.7762"
"00:00:11","24.4167","18.6754","21.7927","18.5727","21.7744"
"00:00:12","24.4168","18.6700","21.7965","18.5747","21.7672"
"00:00:13","24.4168","18.6718","21.7965","18.5747","21.7709"
"00:00:14","24.4170","18.6832","21.8022","18.5842","21.7784"
"00:00:15","24.4170","18.6813","21.8022","18.5768","21.7710"
"00:00:16","24.4170","18.6757","21.8059","18.5749","21.7802"
"00:00:17","24.4170","18.6758","21.8096","18.5768","21.7748"
"00:00:18","24.4171","18.6759","21.8060","18.5732","21.7804"
"00:00:19","24.4171","18.6777","21.8097","18.5806","21.7822"
"00:00:20","24.4173","18.6779","21.8098","18.5770","21.7750"
"00:00:21","24.4172","18.6778","21.8006","18.5714","21.7731"
"00:00:22","24.4173","18.6927","21.8135","18.5882","21.7879"
"00:00:23","24.4174","18.6874","21.8155","18.5921","21.7899"
"00:00:24","24.4174","18.6836","21.8174","18.5865","21.7881"
"00:00:25","24.4175","18.6837","21.8156","18.5866","21.7937"
"00:00:26","24.4175","18.6930","21.8230","18.5885","21.7937"
"00:00:27","24.4176","18.6801","21.8102","18.5830","21.7846"
"00:00:28","24.4176","18.6819","21.8157","18.5811","21.7827"
"00:00:29","24.4177","18.6747","21.8085","18.5794","21.7829"
"00:00:30","24.4177","18.6914","21.8103","18.5850","21.7847"
"00:00:31","24.4177","18.6784","21.8140","18.5831","21.7865"
"00:00:32","24.4179","18.6711","21.8105","18.5814","21.7812"
"00:00:33","24.4179","18.6692","21.8086","18.5777","21.7812"
"00:00:34","24.4181","18.6787","21.8125","18.5797","21.7832"
"00:00:35","24.4180","18.6786","21.8179","18.5871","21.7886"
"00:00:36","24.4181","18.6825","21.8181","18.5854","21.7851"
"00:00:37","24.4182","18.6751","21.8163","18.5873","21.7815"
"00:00:38","24.4182","18.6751","21.8108","18.5854","21.7852"
"00:00:39","24.4184","18.6790","21.8238","18.5912","21.7927"
"00:00:40","24.4183","18.6808","21.8219","18.5911","21.7908"
"00:00:41","24.4183","18.6789","21.8624","18.5874","21.7871"
"00:00:42","24.4184","18.6827","21.8164","18.5930","21.7853"
"00:00:43","24.4185","18.6847","21.8258","18.5987","21.7891"
"00:00:44","24.4185","18.6865","21.8257","18.5949","21.7891"
"00:00:45","24.4185","18.6866","21.8239","18.5969","21.7910"
"00:00:46","24.4186","18.6848","21.8296","18.6044","21.7966"
"00:00:47","24.4187","18.6942","21.8278","18.6045","21.7985"
"00:00:48","24.4187","18.6793","21.8242","18.5915","21.7930"
"00:00:49","24.4187","18.6831","21.8462","18.5915","21.7875"
"00:00:50","24.4188","18.6758","21.8188","18.5879","21.7876"
"00:00:51","24.4188","18.6776","21.8188","18.5898","21.7858"
"00:00:52","24.4188","18.6813","21.8206","18.5879","21.7895"
"00:00:53","24.4189","18.6814","21.8244","18.5917","21.7932"
"00:00:54","24.4190","18.6833","21.8244","18.5881","21.7915"
"00:00:55","24.4190","18.6889","21.8281","18.6011","21.7988"
"00:00:56","24.4191","18.6871","21.8264","18.5993","21.7971"
"00:00:57","24.4192","18.6872","21.8319","18.5957","21.7971"
"00:00:58","24.4192","18.6816","21.8228","18.5901","21.7916"
"00:00:59","24.4192","18.6817","21.8284","18.5883","21.7899"
"00:01:00","24.4192","18.6817","21.8265","18.5920","21.7935"
"00:01:01","24.4193","18.6948","21.8358","18.5921","21.8047"
"00:01:02","24.4193","18.6930","21.8395","18.5958","21.8065"
"00:01:03","24.4194","18.6930","21.8395","18.6015","21.8139"
"00:01:04","24.4195","18.7024","21.8433","18.6034","21.8066"
"00:01:05","24.4195","18.6894","21.8341","18.5997","21.8048"
"00:01:06","24.4196","18.6876","21.8378","18.5942","21.8030"
"00:01:07","24.4196","18.6802","21.8361","18.5850","21.7994"
"00:01:08","24.4196","18.6858","21.8342","18.5887","21.7994"
"00:01:09","24.4198","18.6804","21.8344","18.5889","21.7978"
"00:01:10","24.4198","18.6786","21.8308","18.5889","21.7959"
"00:01:11","24.4198","18.6786","21.8252","18.5796","21.7923"
"00:01:12","24.4199","18.6750","21.8236","18.5779","21.7943"
"00:01:13","24.4199","18.6787","21.8272","18.5779","21.7924"
"00:01:14","24.4200","18.6732","21.8236","18.5761","21.7925"
"00:01:15","24.4201","18.6715","21.8311","18.5873","21.8036"
"00:01:16","24.4201","18.6789","21.8366","18.5781","21.8018"
"00:01:17","24.4201","18.6789","21.8347","18.5799","21.8054"
"00:01:18","24.4203","18.6697","21.8312","18.5726","21.7964"
"00:01:19","24.4203","18.6734","21.8330","18.5763","21.8001"
"00:01:20","24.4204","18.6792","21.8406","18.5858","21.8058"
"00:01:21","24.4204","18.6755","21.8350","18.5839","21.8057"
"00:01:22","24.4204","18.6773","21.8350","18.5802","21.8094"
"00:01:23","24.4206","18.6571","21.8444","18.5859","21.8096"
"00:01:24","24.4206","18.6756","21.8426","18.5804","21.8114"
"00:01:25","24.4206","18.6961","21.8536","18.5915","21.8206"
"00:01:26","24.4207","18.6906","21.8556","18.5880","21.8208"
"00:01:27","24.4209","18.6908","21.8595","18.5919","21.8283"
"00:01:28","24.4209","18.6871","21.8539","18.5900","21.8228"
"00:01:29","24.4209","18.6816","21.8576","18.5826","21.8154"
"00:01:30","24.4210","18.6854","21.8504","18.5846","21.8156"
"00:01:31","24.4210","18.6743","21.8431","18.5772","21.8119"
"00:01:32","24.4211","18.6855","21.8523","18.5809","21.8212"
"00:01:33","24.4212","18.6818","21.8542","18.5792","21.8231"
"00:01:34","24.4212","18.6763","21.8138","18.5792","21.8194"
"00:01:35","24.4213","18.6763","21.8525","18.5792","21.8250"
"00:01:36","24.4214","18.6727","21.8489","18.5756","21.8214"
"00:01:37","24.4215","18.6877","21.8656","18.5906","21.8344"
"00:01:38","24.4215","18.6822","21.8564","18.5813","21.8271"
"00:01:39","24.4215","18.6822","21.8564","18.5739","21.8234"
"00:01:40","24.4216","18.6785","21.8583","18.5870","21.8290"
"00:01:41","24.4218","18.6768","21.8585","18.5760","21.8181"
"00:01:42","24.4218","18.6694","21.8161","18.5778","21.8236"
"00:01:43","24.4218","18.6695","21.8530","18.5705","21.8200"
"00:01:44","24.4219","18.6677","21.8476","18.5687","21.8183"
"00:01:45","24.4219","18.6733","21.8623","18.5799","21.8256"
"00:01:46","24.4221","18.6679","21.8625","18.5708","21.8222"
"00:01:47","24.4223","18.6718","21.8609","18.5728","21.8260"
"00:01:48","24.4223","18.6681","21.8664","18.5784","21.8279"
"00:01:49","24.4224","18.6737","21.8609","18.5785","21.8280"
"00:01:50","24.4223","18.6662","21.8553","18.5747","21.8242"
"00:01:51","24.4224","18.6756","21.8646","18.5822","21.8261"
"00:01:52","24.4225","18.6664","21.8573","18.5749","21.8225"
"00:01:53","24.4225","18.6664","21.8610","18.5674","21.8207"
"00:01:54","24.4226","18.6666","21.8593","18.5713","21.8264"
"00:01:55","24.4226","18.6628","21.8612","18.5713","21.8227"
"00:01:56","24.4226","18.6666","21.8649","18.5750","21.8282"
"00:01:57","24.4228","18.6648","21.8687","18.5807","21.8320"
"00:01:58","24.4229","18.6780","21.8743","18.5865","21.8358"
"00:01:59","24.4229","18.6817","21.8725","18.5883","21.8414"
"00:02:00","24.4229","18.6743","21.8743","18.5846","21.8358"
"00:02:01","24.4230","18.6725","21.8708","18.5810","21.8304"
"00:02:02","24.4229","18.6631","21.8725","18.5827","21.8377"
"00:02:03","24.4228","18.6742","21.8724","18.5901","21.8413"
"00:02:04","24.4228","18.6797","21.8760","18.5937","21.8412"
"00:02:05","24.4228","18.6779","21.8724","18.5901","21.8394"
"00:02:06","24.4229","18.6836","21.8817","18.5995","21.8432"
"00:02:07","24.4232","18.6820","21.8856","18.5960","21.8471"
"00:02:08","24.4232","18.6765","21.8747","18.5905","21.8399"
"00:02:09","24.4234","18.6804","21.8822","18.5981","21.8455"
"00:02:10","24.4234","18.6804","21.8877","18.5944","21.8455"
"00:02:11","24.4235","18.6823","21.8823","18.5963","21.8419"
"00:02:12","24.4236","18.6824","21.8824","18.5946","21.8439"
"00:02:13","24.4236","18.6769","21.8806","18.5909","21.8366"
"00:02:14","24.4237","18.6807","21.8843","18.5966","21.8477"
"00:02:15","24.4237","18.6807","21.8843","18.5966","21.8477"
"00:02:16","24.4239","18.6957","21.8863","18.5893","21.8442"
"00:02:17","24.4239","18.6827","21.8882","18.6004","21.8534"
"00:02:18","24.4240","18.6847","21.8957","18.6006","21.8572"
"00:02:19","24.4239","18.6902","21.8956","18.6061","21.8645"
"00:02:20","24.4239","18.6901","21.8974","18.6097","21.8626"
"00:02:21","24.4241","18.6885","21.8995","18.6044","21.8591"
"00:02:22","24.4242","18.6830","21.8940","18.6082","21.8482"
"00:02:23","24.4242","18.6886","21.8940","18.6063","21.8592"
"00:02:24","24.4242","18.6793","21.8885","18.6045","21.8519"
"00:02:25","24.4243","18.6850","21.8887","18.5954","21.8575"
"00:02:26","24.4243","18.6850","21.8923","18.5991","21.8502"
"00:02:27","24.4244","18.6795","21.9090","18.5880","21.8484"
"00:02:28","24.4245","18.6833","21.8925","18.5899","21.8503"
