"","Ambient T Last (C)","Channel 1 Last (C)","Channel 2 Last (C)","Channel 3 Last (C)","Channel 4 Last (C)"
"00:00:00","23.4697","21.8462","22.2420","22.2372","22.2734"
"00:00:01","23.4693","21.8476","22.2416","22.2184","22.2749"
"00:00:02","23.4688","21.8544","22.2485","22.2068","22.2780"
"00:00:03","23.4684","21.8522","22.2480","22.1953","22.2813"
"00:00:04","23.4679","21.8591","22.2586","22.1801","22.2826"
"00:00:05","23.4675","21.8605","22.2637","22.1871","22.2988"
"00:00:06","23.4671","21.8693","22.2688","22.1701","22.3039"
"00:00:07","23.4666","21.8706","22.2775","22.1752","22.3108"
"00:00:08","23.4662","21.8739","22.2826","22.1729","22.3158"
"00:00:09","23.4657","21.8753","22.2895","22.1816","22.3173"
"00:00:10","23.4652","21.8767","22.2927","22.1941","22.3260"
"00:00:11","23.4649","21.8836","22.3016","22.2084","22.3366"
"00:00:12","23.4644","21.8832","22.3011","22.2135","22.3380"
"00:00:13","23.4639","21.8900","22.3061","22.2148","22.3393"
"00:00:14","23.4635","21.8915","22.3039","22.2162","22.3426"
"00:00:15","23.4630","21.8965","22.3052","22.2323","22.3495"
"00:00:16","23.4627","21.8980","22.3141","22.2356","22.3492"
"00:00:17","23.4621","21.9048","22.3135","22.2388","22.3523"
"00:00:18","23.4618","21.9081","22.3150","22.2439","22.3593"
"00:00:19","23.4613","21.9132","22.3201","22.2416","22.3699"
"00:00:20","23.4608","21.9274","22.3343","22.2393","22.3749"
"00:00:21","23.4604","21.9233","22.3339","22.2370","22.3745"
"00:00:22","23.4599","21.9320","22.3370","22.2328","22.3832"
"00:00:23","23.4595","21.9353","22.3422","22.2251","22.3883"
"00:00:24","23.4591","21.9367","22.3399","22.2155","22.3842"
"00:00:25","23.4586","21.9307","22.3486","22.2150","22.3892"
"00:00:26","23.4581","21.9229","22.3426","22.2182","22.3924"
"00:00:27","23.4577","21.9298","22.3459","22.2196","22.3957"
"00:00:28","23.4574","21.9405","22.3584","22.2248","22.4045"
"00:00:29","23.4569","21.9437","22.3653","22.2336","22.4078"
"00:00:30","23.4565","21.9451","22.3630","22.2331","22.4128"
"00:00:31","23.4560","21.9465","22.3718","22.2492","22.4216"
"00:00:32","23.4555","21.9570","22.3768","22.2431","22.4192"
"00:00:33","23.4551","21.9566","22.3782","22.2483","22.4244"
"00:00:34","23.4546","21.9506","22.3723","22.2349","22.4257"
"00:00:35","23.4542","21.9576","22.3828","22.2308","22.4308"
"00:00:36","23.4537","21.9700","22.3898","22.2340","22.4432"
"00:00:37","23.4533","21.9640","22.3930","22.2244","22.4446"
"00:00:38","23.4529","21.9655","22.3926","22.2258","22.4516"
"00:00:39","23.4524","21.9705","22.3995","22.2327","22.4567"
"00:00:40","23.4520","21.9756","22.4064","22.2397","22.4581"
"00:00:41","23.4515","21.9788","22.4096","22.2374","22.4705"
"00:00:42","23.4511","21.9766","22.4129","22.2572","22.4756"
"00:00:43","23.4507","21.9909","22.4254","22.2696","22.4733"
"00:00:44","23.4503","21.9942","22.4231","22.2785","22.4858"
"00:00:45","23.4499","21.9975","22.4338","22.2726","22.4910"
"00:00:46","23.4494","22.0043","22.4388","22.2628","22.4996"
"00:00:47","23.4490","22.0021","22.4402","22.2643","22.4992"
"00:00:48","23.4486","22.0090","22.4435","22.2675","22.5025"
"00:00:49","23.4480","22.0029","22.4411","22.2725","22.4909"
"00:00:50","23.4477","21.9989","22.4444","22.2629","22.4997"
"00:00:51","23.4473","22.0040","22.4422","22.2552","22.4975"
"00:00:52","23.4468","21.9999","22.4380","22.2363","22.4989"
"00:00:53","23.4464","22.0013","22.4413","22.2212","22.4985"
"00:00:54","23.4460","21.9954","22.4427","22.2153","22.4999"
"00:00:55","23.4455","21.9986","22.4478","22.2167","22.5105"
"00:00:56","23.4451","22.0018","22.4473","22.2235","22.5137"
"00:00:57","23.4446","21.9977","22.4616","22.2286","22.5169"
"00:00:58","23.4442","22.0027","22.4611","22.2392","22.5257"
"00:00:59","23.4438","22.0042","22.4626","22.2407","22.5253"
"00:01:00","23.4433","22.0111","22.4713","22.2531","22.5285"
"00:01:01","23.4429","22.0143","22.4783","22.2508","22.5391"
"00:01:02","23.4424","22.0139","22.4760","22.2522","22.5386"
"00:01:03","23.4421","22.0043","22.4719","22.2426","22.5273"
"00:01:04","23.4416","22.0038","22.4751","22.2458","22.5433"
"00:01:05","23.4412","22.0182","22.4821","22.2583","22.5485"
"00:01:06","23.4408","22.0177","22.4872","22.2615","22.5480"
"00:01:07","23.4403","22.0210","22.4849","22.2703","22.5531"
"00:01:08","23.4399","22.0242","22.4863","22.2773","22.5490"
"00:01:09","23.4395","22.0238","22.4896","22.2695","22.5486"
"00:01:10","23.4390","22.0252","22.4873","22.2635","22.5518"
"00:01:11","23.4386","22.0285","22.4887","22.2557","22.5606"
"00:01:12","23.4382","22.0335","22.4975","22.2590","22.5675"
"00:01:13","23.4377","22.0386","22.5044","22.2549","22.5726"
"00:01:14","23.4374","22.0438","22.5095","22.2489","22.5759"
"00:01:15","23.4369","22.0359","22.5035","22.2448","22.5736"
"00:01:16","23.4366","22.0301","22.5032","22.2390","22.5696"
"00:01:17","23.4361","22.0277","22.5082","22.2311","22.5746"
"00:01:18","23.4356","22.0346","22.5078","22.2435","22.5760"
"00:01:19","23.4352","22.0305","22.5018","22.2431","22.5792"
"00:01:20","23.4349","22.0284","22.5125","22.2464","22.5844"
"00:01:21","23.4343","22.0333","22.5175","22.2496","22.5857"
"00:01:22","23.4339","22.0421","22.5152","22.2454","22.5963"
"00:01:23","23.4335","22.0436","22.5314","22.2561","22.5959"
"00:01:24","23.4330","22.0321","22.5218","22.2483","22.5900"
"00:01:25","23.4326","22.0298","22.5250","22.2460","22.5913"
"00:01:26","23.4322","22.0349","22.5209","22.2640","22.5910"
"00:01:27","23.4318","22.0456","22.5279","22.2636","22.5961"
"00:01:28","23.4314","22.0304","22.5201","22.2650","22.5938"
"00:01:29","23.4310","22.0411","22.5289","22.2646","22.6008"
"00:01:30","23.4305","22.0388","22.5321","22.2642","22.6058"
"00:01:31","23.4301","22.0383","22.5317","22.2509","22.6017"
"00:01:32","23.4297","22.0361","22.5313","22.2449","22.6032"
"00:01:33","23.4292","22.0430","22.5382","22.2371","22.6064"
"00:01:34","23.4288","22.0370","22.5322","22.2257","22.6060"
"00:01:35","23.4284","22.0422","22.5429","22.2216","22.6111"
"00:01:36","23.4280","22.0381","22.5462","22.2176","22.6126"
"00:01:37","23.4276","22.0395","22.5384","22.2171","22.6103"
"00:01:38","23.4271","22.0317","22.5379","22.2203","22.6135"
"00:01:39","23.4267","22.0313","22.5394","22.2163","22.6131"
"00:01:40","23.4263","22.0419","22.5500","22.2250","22.6255"
